index,trading_date,total_turnover,basis_spread,volume,low,close,open,limit_up,limit_down,open_interest,high
2013-10-18 09:15:00,2013-10-18,9507596400.0,,97902.0,961.918,970.864,975.701,1034.483,881.237,44178.0,982.849
2013-10-18 09:30:00,2013-10-18,4373816800.0,,44896.0,968.941,976.3,971.642,1034.7,882.514,61806.0,977.167
2013-10-18 09:45:00,2013-10-18,4496017600.0,,45928.0,975.306,979.956,975.398,1034.767,882.664,70058.0,982.479
2013-10-18 10:00:00,2013-10-18,2571947200.0,,26236.0,977.747,980.797,980.959,1034.679,882.574,76584.0,983.917
2013-10-18 10:15:00,2013-10-18,1607563200.0,,16442.0,975.849,977.824,980.794,1034.578,882.399,77510.0,981.789
2013-10-18 10:45:00,2013-10-18,1064407200.0,,10896.0,975.276,977.529,978.658,1034.407,882.364,77504.0,978.658
2013-10-18 11:00:00,2013-10-18,2001433400.0,,20480.0,973.928,975.843,978.45,1034.371,882.3,79570.0,979.387
2013-10-18 11:15:00,2013-10-18,671575400.0,,6882.0,974.893,976.618,976.008,1034.291,882.258,80008.0,978.452
2013-10-18 11:30:00,2013-10-18,471358000.0,,4824.0,975.816,977.699,976.616,1034.286,882.259,80140.0,977.699
2013-10-18 13:45:00,2013-10-18,1018039800.0,,10430.0,973.821,974.642,977.631,1034.267,882.236,79912.0,977.631
2013-10-18 14:00:00,2013-10-18,1624262600.0,,16602.0,974.533,976.616,974.533,1034.236,882.179,80858.0,980.232
2013-10-18 14:15:00,2013-10-18,518597000.0,,5312.0,974.672,976.588,976.614,1034.241,882.222,81282.0,977.509
2013-10-18 14:30:00,2013-10-18,361674400.0,,3706.0,973.827,974.751,975.758,1034.256,882.245,81116.0,976.582
2013-10-18 14:45:00,2013-10-18,476435600.0,,4882.0,974.595,975.482,974.758,1034.269,882.25,80546.0,976.482
2013-10-18 15:00:00,2013-10-18,2268917400.0,,23282.0,971.729,976.098,976.457,1034.374,882.269,78656.0,976.996
2013-10-21 09:15:00,2013-10-21,1680164800.0,,17298.0,968.653,969.672,975.108,1013.031,935.165,82534.0,976.219
2013-10-21 09:30:00,2013-10-21,666055000.0,,6866.0,967.707,970.043,969.661,1012.955,935.033,83050.0,970.36
2013-10-21 09:45:00,2013-10-21,821809200.0,,8486.0,965.013,965.013,970.113,1012.809,934.989,82248.0,970.936
2013-10-21 10:00:00,2013-10-21,1307390800.0,,13550.0,961.466,964.117,964.861,1012.759,934.895,83468.0,967.76
2013-10-21 10:15:00,2013-10-21,724994600.0,,7524.0,961.328,962.293,963.197,1012.656,934.841,84826.0,964.209
2013-10-21 10:45:00,2013-10-21,979514800.0,,10184.0,959.379,961.36,963.139,1012.603,934.831,86554.0,964.123
2013-10-21 11:00:00,2013-10-21,621338400.0,,6450.0,961.185,963.893,961.274,1012.579,934.759,84250.0,964.732
2013-10-21 11:15:00,2013-10-21,353173400.0,,3664.0,961.119,962.793,964.804,1012.495,934.738,84006.0,964.804
2013-10-21 11:30:00,2013-10-21,643535200.0,,6662.0,961.886,966.509,962.792,1012.473,934.709,84642.0,968.186
2013-10-21 13:45:00,2013-10-21,468346400.0,,4838.0,965.67,965.733,967.346,1012.44,934.697,84990.0,968.35
2013-10-21 14:00:00,2013-10-21,364833800.0,,3764.0,965.658,968.296,965.733,1012.428,934.661,83826.0,968.467
2013-10-21 14:15:00,2013-10-21,241455200.0,,2492.0,966.519,968.267,968.369,1012.383,934.644,83684.0,968.531
2013-10-21 14:30:00,2013-10-21,104112400.0,,1074.0,967.429,968.291,968.265,1012.368,934.644,83684.0,968.368
2013-10-21 14:45:00,2013-10-21,526042000.0,,5426.0,966.47,966.552,967.521,1012.357,934.597,84028.0,969.375
2013-10-21 15:00:00,2013-10-21,556696800.0,,5748.0,966.363,966.917,967.288,1012.31,934.505,82136.0,968.095
2013-10-22 09:15:00,2013-10-22,1436024800.0,,14912.0,959.295,960.31,961.274,1003.702,927.613,83902.0,964.147
2013-10-22 09:30:00,2013-10-22,434681800.0,,4532.0,958.674,959.911,960.957,1003.669,927.563,85216.0,961.14
2013-10-22 09:45:00,2013-10-22,1271674000.0,,13258.0,955.117,955.184,959.84,1003.602,927.552,87536.0,959.84
2013-10-22 10:00:00,2013-10-22,1262551000.0,,13222.0,950.316,952.033,955.956,1003.577,927.478,86876.0,956.034
2013-10-22 10:15:00,2013-10-22,304944800.0,,3196.0,951.099,952.035,952.033,1003.486,927.477,87406.0,953.775
2013-10-22 10:45:00,2013-10-22,249026200.0,,2612.0,951.037,952.131,952.033,1003.484,927.474,87764.0,953.711
2013-10-22 11:00:00,2013-10-22,146173400.0,,1534.0,951.126,951.346,952.034,1003.48,927.476,88008.0,953.028
2013-10-22 11:15:00,2013-10-22,1049872400.0,,11030.0,948.452,952.204,951.346,1003.514,927.478,89200.0,953.157
2013-10-22 11:30:00,2013-10-22,179653600.0,,1884.0,951.356,953.186,951.358,1003.492,927.482,89136.0,953.25
2013-10-22 13:45:00,2013-10-22,777482200.0,,8126.0,952.333,954.04,952.333,1003.482,927.465,88270.0,955.866
2013-10-22 14:00:00,2013-10-22,581516800.0,,6096.0,950.314,951.158,954.039,1003.461,927.44,88446.0,954.882
2013-10-22 14:15:00,2013-10-22,146941600.0,,1542.0,950.314,952.001,951.158,1003.444,927.448,88866.0,952.21
2013-10-22 14:30:00,2013-10-22,239046000.0,,2518.0,949.925,950.045,951.156,1003.454,927.442,89492.0,952.0
2013-10-22 14:45:00,2013-10-22,278624800.0,,2928.0,949.187,951.031,950.892,1003.455,927.452,89220.0,951.123
2013-10-22 15:00:00,2013-10-22,1084547200.0,,11422.0,946.262,946.262,950.971,1003.443,927.425,89528.0,951.875
2013-10-23 09:15:00,2013-10-23,1283612800.0,,13510.0,945.618,949.369,947.569,991.927,916.024,91140.0,951.063
2013-10-23 09:30:00,2013-10-23,937772800.0,,9866.0,947.419,949.383,949.369,991.943,915.99,90808.0,950.395
2013-10-23 09:45:00,2013-10-23,433073800.0,,4556.0,947.505,950.188,949.382,991.874,915.989,91264.0,950.188
2013-10-23 10:00:00,2013-10-23,154749000.0,,1632.0,947.515,948.364,950.182,991.865,915.968,91378.0,950.274
2013-10-23 10:15:00,2013-10-23,242890200.0,,2558.0,947.576,948.424,948.426,991.851,915.97,91466.0,949.466
2013-10-23 10:45:00,2013-10-23,1071757800.0,,11330.0,942.782,943.633,948.516,991.841,915.913,92274.0,948.516
2013-10-23 11:00:00,2013-10-23,861493800.0,,9118.0,941.643,944.541,944.479,991.792,915.849,91368.0,945.391
2013-10-23 11:15:00,2013-10-23,539327200.0,,5720.0,941.522,943.318,944.447,991.713,915.821,91756.0,944.532
2013-10-23 11:30:00,2013-10-23,381084000.0,,4040.0,940.471,942.459,942.601,991.658,915.752,91170.0,943.45
2013-10-23 13:45:00,2013-10-23,278137600.0,,2950.0,940.45,943.272,942.25,991.596,915.717,91696.0,943.377
2013-10-23 14:00:00,2013-10-23,274650800.0,,2912.0,941.465,942.419,942.32,991.564,915.707,92320.0,943.169
2013-10-23 14:15:00,2013-10-23,1280927600.0,,13630.0,935.7,936.556,942.312,991.568,915.691,96188.0,942.312
2013-10-23 14:30:00,2013-10-23,1436824400.0,,15296.0,934.712,939.453,935.666,991.609,915.719,96582.0,941.221
2013-10-23 14:45:00,2013-10-23,1278656800.0,,13584.0,936.788,937.645,939.55,991.614,915.727,96476.0,941.289
2013-10-23 15:00:00,2013-10-23,1104835200.0,,11754.0,935.735,937.49,938.363,991.577,915.642,94634.0,940.14
2013-10-24 09:15:00,2013-10-24,2361253200.0,,25360.0,924.928,925.871,936.633,979.269,905.256,102528.0,937.275
2013-10-24 09:30:00,2013-10-24,1799576000.0,,19504.0,915.562,920.201,925.874,979.28,905.332,106124.0,926.787
2013-10-24 09:45:00,2013-10-24,1118064000.0,,12136.0,918.351,919.221,920.204,979.282,905.342,107902.0,922.199
2013-10-24 10:00:00,2013-10-24,1953783800.0,,21120.0,918.258,926.063,918.258,979.279,905.276,104234.0,927.834
2013-10-24 10:15:00,2013-10-24,2421738400.0,,26014.0,925.199,931.967,925.199,979.232,905.274,103256.0,933.814
2013-10-24 10:45:00,2013-10-24,1004527200.0,,10800.0,927.828,928.865,931.823,979.192,905.179,101210.0,931.823
2013-10-24 11:00:00,2013-10-24,692839400.0,,7456.0,926.903,929.724,928.011,979.111,905.166,101984.0,929.724
2013-10-24 11:15:00,2013-10-24,599926800.0,,6456.0,925.809,926.664,929.774,979.113,905.177,103132.0,929.774
2013-10-24 11:30:00,2013-10-24,1190368800.0,,12770.0,925.804,930.692,926.762,979.112,905.172,102452.0,932.659
2013-10-24 13:45:00,2013-10-24,474413000.0,,5104.0,927.762,927.972,930.643,979.079,905.119,103404.0,930.747
2013-10-24 14:00:00,2013-10-24,667712800.0,,7194.0,925.948,927.805,928.805,979.009,905.076,104700.0,929.656
2013-10-24 14:15:00,2013-10-24,415152200.0,,4476.0,925.84,927.653,927.541,979.0,905.077,105218.0,928.72
2013-10-24 14:30:00,2013-10-24,320083000.0,,3450.0,925.889,927.746,927.652,979.012,905.084,106198.0,927.746
2013-10-24 14:45:00,2013-10-24,200283600.0,,2158.0,926.806,926.994,927.705,979.019,905.092,106060.0,927.849
2013-10-24 15:00:00,2013-10-24,1241237800.0,,13402.0,923.787,924.634,927.656,979.001,905.004,103770.0,927.657
2013-10-25 09:15:00,2013-10-25,2195400600.0,,23536.0,925.751,930.398,926.449,963.565,889.714,99920.0,934.202
2013-10-25 09:30:00,2013-10-25,898572000.0,,9666.0,925.751,927.591,930.285,963.543,889.706,100188.0,931.243
2013-10-25 09:45:00,2013-10-25,426747600.0,,4592.0,926.665,926.716,927.593,963.53,889.707,101102.0,929.313
2013-10-25 10:00:00,2013-10-25,617437400.0,,6658.0,924.876,925.716,927.561,963.539,889.716,101948.0,928.406
2013-10-25 10:15:00,2013-10-25,253868200.0,,2740.0,924.865,926.55,925.716,963.53,889.704,102482.0,926.598
2013-10-25 10:45:00,2013-10-25,490060400.0,,5272.0,926.66,928.55,926.662,963.523,889.701,102630.0,929.511
2013-10-25 11:00:00,2013-10-25,201171400.0,,2168.0,926.695,927.54,928.551,963.521,889.695,102846.0,929.397
2013-10-25 11:15:00,2013-10-25,107969600.0,,1164.0,926.574,927.533,926.696,963.508,889.688,103148.0,928.61
2013-10-25 11:30:00,2013-10-25,254998000.0,,2748.0,925.669,926.514,927.533,963.5,889.67,102788.0,928.378
2013-10-25 13:45:00,2013-10-25,871753000.0,,9412.0,923.793,926.505,926.515,963.484,889.624,102872.0,927.359
2013-10-25 14:00:00,2013-10-25,666295400.0,,7204.0,921.668,924.439,925.589,963.439,889.592,103948.0,926.477
2013-10-25 14:15:00,2013-10-25,788466400.0,,8546.0,918.774,921.435,923.592,963.391,889.55,104364.0,924.438
2013-10-25 14:30:00,2013-10-25,486629200.0,,5268.0,919.682,921.524,921.433,963.345,889.522,103538.0,923.321
2013-10-25 14:45:00,2013-10-25,694826200.0,,7540.0,918.59,918.62,921.519,963.317,889.517,103598.0,921.519
2013-10-25 15:00:00,2013-10-25,1132281000.0,,12312.0,915.619,916.595,919.47,963.317,889.493,102272.0,920.559
2013-10-28 09:15:00,2013-10-28,1344237800.0,,14568.0,916.626,923.403,918.165,962.248,888.425,103080.0,924.288
2013-10-28 09:30:00,2013-10-28,1110669400.0,,12004.0,920.68,922.386,923.412,962.289,888.46,104944.0,926.355
2013-10-28 09:45:00,2013-10-28,490816800.0,,5310.0,921.535,922.482,921.535,962.298,888.492,104980.0,924.303
2013-10-28 10:00:00,2013-10-28,412959400.0,,4474.0,918.871,919.722,922.483,962.293,888.489,105286.0,923.333
2013-10-28 10:15:00,2013-10-28,525475200.0,,5704.0,918.745,919.712,918.759,962.31,888.487,106970.0,922.406
2013-10-28 10:45:00,2013-10-28,1119888600.0,,12192.0,915.645,919.415,919.835,962.37,888.486,108912.0,920.687
2013-10-28 11:00:00,2013-10-28,205706600.0,,2236.0,917.588,919.323,918.557,962.369,888.557,108718.0,919.414
2013-10-28 11:15:00,2013-10-28,555495800.0,,6032.0,918.453,920.418,919.356,962.383,888.559,109998.0,921.277
2013-10-28 11:30:00,2013-10-28,321161800.0,,3486.0,918.702,920.528,919.559,962.38,888.567,109696.0,921.275
2013-10-28 13:45:00,2013-10-28,280030200.0,,3040.0,918.672,920.645,919.671,962.385,888.569,110140.0,921.285
2013-10-28 14:00:00,2013-10-28,191283000.0,,2078.0,918.676,919.454,920.616,962.388,888.576,110022.0,920.616
2013-10-28 14:15:00,2013-10-28,253078600.0,,2752.0,918.45,918.456,919.454,962.387,888.571,110632.0,920.528
2013-10-28 14:30:00,2013-10-28,256213600.0,,2788.0,917.592,919.426,917.592,962.39,888.575,110764.0,920.395
2013-10-28 14:45:00,2013-10-28,549227400.0,,5954.0,919.424,919.552,919.426,962.388,888.566,109866.0,922.275
2013-10-28 15:00:00,2013-10-28,390628800.0,,4240.0,918.694,921.282,919.553,962.376,888.552,108946.0,921.282
2013-10-29 09:15:00,2013-10-29,2480106600.0,,27058.0,912.024,912.981,922.139,956.443,884.257,118324.0,922.479
2013-10-29 09:30:00,2013-10-29,996387800.0,,10886.0,911.903,916.498,912.983,956.432,884.337,119210.0,917.5
2013-10-29 09:45:00,2013-10-29,831634600.0,,9058.0,915.631,917.572,916.498,956.421,884.302,118332.0,918.668
2013-10-29 10:00:00,2013-10-29,333279000.0,,3630.0,915.73,916.597,917.572,956.383,884.297,118822.0,918.545
2013-10-29 10:15:00,2013-10-29,269969200.0,,2942.0,915.731,916.597,916.705,956.381,884.296,119014.0,917.57
2013-10-29 10:45:00,2013-10-29,1273521200.0,,13906.0,911.979,913.821,916.7,956.392,884.29,121066.0,918.428
2013-10-29 11:00:00,2013-10-29,387467800.0,,4234.0,912.85,916.471,913.717,956.395,884.282,120278.0,916.471
2013-10-29 11:15:00,2013-10-29,410249200.0,,4478.0,913.642,915.478,916.47,956.376,884.282,120814.0,916.47
2013-10-29 11:30:00,2013-10-29,372832800.0,,4068.0,913.718,916.419,914.613,956.368,884.282,120280.0,916.527
