index,trading_date,total_turnover,low,limit_down,limit_up,high,basis_spread,volume,close,open,open_interest
2010-01-04 09:15:00,2010-01-04,8311243600.0,24545.0,22890.0,25815.0,24745.0,,67434.0,24610.0,24595.0,135144.0
2010-01-04 09:30:00,2010-01-04,3923706650.0,24600.0,22890.0,25815.0,24700.0,,31860.0,24700.0,24615.0,132332.0
2010-01-04 09:45:00,2010-01-04,5963430450.0,24525.0,22890.0,25815.0,24725.0,,48488.0,24610.0,24700.0,134432.0
2010-01-04 10:00:00,2010-01-04,2702101400.0,24520.0,22890.0,25815.0,24610.0,,21996.0,24560.0,24610.0,134138.0
2010-01-04 10:15:00,2010-01-04,2604116150.0,24530.0,22890.0,25815.0,24620.0,,21190.0,24605.0,24555.0,132988.0
2010-01-04 10:45:00,2010-01-04,2845326750.0,24565.0,22890.0,25815.0,24650.0,,23126.0,24580.0,24600.0,134176.0
2010-01-04 11:00:00,2010-01-04,2903506700.0,24530.0,22890.0,25815.0,24605.0,,23636.0,24540.0,24580.0,133500.0
2010-01-04 11:15:00,2010-01-04,3489776800.0,24475.0,22890.0,25815.0,24560.0,,28458.0,24545.0,24540.0,135930.0
2010-01-04 11:30:00,2010-01-04,2039437850.0,24510.0,22890.0,25815.0,24570.0,,16622.0,24520.0,24545.0,133416.0
2010-01-04 13:45:00,2010-01-04,3946662850.0,24515.0,22890.0,25815.0,24630.0,,32128.0,24615.0,24515.0,135916.0
2010-01-04 14:00:00,2010-01-04,3315947200.0,24575.0,22890.0,25815.0,24640.0,,26942.0,24620.0,24620.0,137006.0
2010-01-04 14:15:00,2010-01-04,2115154400.0,24600.0,22890.0,25815.0,24640.0,,17182.0,24630.0,24630.0,137526.0
2010-01-04 14:30:00,2010-01-04,2320796600.0,24590.0,22890.0,25815.0,24635.0,,18862.0,24605.0,24630.0,139246.0
2010-01-04 14:45:00,2010-01-04,6703628050.0,24555.0,22890.0,25815.0,24705.0,,54406.0,24580.0,24605.0,139058.0
2010-01-04 15:00:00,2010-01-04,6925971900.0,24340.0,22890.0,25815.0,24580.0,,56602.0,24350.0,24575.0,138342.0
2010-01-05 09:15:00,2010-01-05,13860087950.0,24475.0,23355.0,25810.0,24840.0,,112488.0,24760.0,24545.0,153252.0
2010-01-05 09:30:00,2010-01-05,7520652750.0,24680.0,23355.0,25810.0,24770.0,,60842.0,24745.0,24760.0,161256.0
2010-01-05 09:45:00,2010-01-05,6859217100.0,24740.0,23355.0,25810.0,24840.0,,55320.0,24780.0,24745.0,164276.0
2010-01-05 10:00:00,2010-01-05,5218517950.0,24715.0,23355.0,25810.0,24805.0,,42164.0,24745.0,24780.0,164780.0
2010-01-05 10:15:00,2010-01-05,3661372650.0,24715.0,23355.0,25810.0,24795.0,,29582.0,24730.0,24740.0,163774.0
2010-01-05 10:45:00,2010-01-05,3789577850.0,24720.0,23355.0,25810.0,24820.0,,30598.0,24780.0,24735.0,166162.0
2010-01-05 11:00:00,2010-01-05,7162771500.0,24775.0,23355.0,25810.0,24880.0,,57690.0,24800.0,24775.0,163858.0
2010-01-05 11:15:00,2010-01-05,3594590150.0,24755.0,23355.0,25810.0,24820.0,,29004.0,24785.0,24800.0,160888.0
2010-01-05 11:30:00,2010-01-05,6372916000.0,24680.0,23355.0,25810.0,24790.0,,51538.0,24760.0,24790.0,155546.0
2010-01-05 13:45:00,2010-01-05,3083581500.0,24735.0,23355.0,25810.0,24785.0,,24908.0,24770.0,24755.0,155730.0
2010-01-05 14:00:00,2010-01-05,3480262450.0,24715.0,23355.0,25810.0,24800.0,,28106.0,24720.0,24770.0,155220.0
2010-01-05 14:15:00,2010-01-05,3092909650.0,24655.0,23355.0,25810.0,24745.0,,25044.0,24705.0,24720.0,156428.0
2010-01-05 14:30:00,2010-01-05,3314882750.0,24630.0,23355.0,25810.0,24725.0,,26862.0,24670.0,24705.0,156126.0
2010-01-05 14:45:00,2010-01-05,3390760650.0,24660.0,23355.0,25810.0,24710.0,,27470.0,24710.0,24665.0,153706.0
2010-01-05 15:00:00,2010-01-05,5705960700.0,24680.0,23355.0,25810.0,24760.0,,46168.0,24705.0,24710.0,142610.0
2010-01-06 09:15:00,2010-01-06,7761514950.0,24635.0,23490.0,25965.0,24825.0,,62756.0,24780.0,24680.0,151438.0
2010-01-06 09:30:00,2010-01-06,4100337350.0,24760.0,23490.0,25965.0,24845.0,,33068.0,24795.0,24780.0,153478.0
2010-01-06 09:45:00,2010-01-06,5473366900.0,24780.0,23490.0,25965.0,24915.0,,44058.0,24910.0,24795.0,157810.0
2010-01-06 10:00:00,2010-01-06,4523277400.0,24845.0,23490.0,25965.0,24920.0,,36354.0,24865.0,24915.0,156618.0
2010-01-06 10:15:00,2010-01-06,2569694000.0,24835.0,23490.0,25965.0,24880.0,,20674.0,24870.0,24865.0,155452.0
2010-01-06 10:45:00,2010-01-06,2743167750.0,24865.0,23490.0,25965.0,24925.0,,22034.0,24900.0,24870.0,154322.0
2010-01-06 11:00:00,2010-01-06,4313650150.0,24865.0,23490.0,25965.0,24950.0,,34638.0,24880.0,24905.0,153616.0
2010-01-06 11:15:00,2010-01-06,2659743300.0,24850.0,23490.0,25965.0,24890.0,,21388.0,24870.0,24880.0,153716.0
2010-01-06 11:30:00,2010-01-06,2216004550.0,24865.0,23490.0,25965.0,24905.0,,17812.0,24900.0,24870.0,152482.0
2010-01-06 13:45:00,2010-01-06,8873598500.0,24940.0,23490.0,25965.0,25135.0,,70874.0,25090.0,24960.0,161392.0
2010-01-06 14:00:00,2010-01-06,6924533750.0,25000.0,23490.0,25965.0,25145.0,,55242.0,25000.0,25095.0,159780.0
2010-01-06 14:15:00,2010-01-06,3576548850.0,24980.0,23490.0,25965.0,25040.0,,28600.0,25035.0,25000.0,157328.0
2010-01-06 14:30:00,2010-01-06,2164074250.0,25035.0,23490.0,25965.0,25080.0,,17276.0,25070.0,25035.0,158116.0
2010-01-06 14:45:00,2010-01-06,3835448800.0,25000.0,23490.0,25965.0,25085.0,,30642.0,25035.0,25065.0,157892.0
2010-01-06 15:00:00,2010-01-06,4908264200.0,24965.0,23490.0,25965.0,25055.0,,39232.0,25050.0,25035.0,149612.0
2010-01-07 09:15:00,2010-01-07,8060672600.0,25360.0,23675.0,26170.0,25545.0,,63320.0,25495.0,25465.0,158210.0
2010-01-07 09:30:00,2010-01-07,5290886850.0,25480.0,23675.0,26170.0,25585.0,,41436.0,25545.0,25495.0,159872.0
