,open,close,high,low,volume,money
2015-12-21 10:29:00,9.93,9.98,9.99,9.91,15625288.0,155266828.0
2015-12-21 10:59:00,9.97,9.96,10.02,9.94,12146848.0,121273377.0
2015-12-21 11:29:00,9.96,10.06,10.13,9.93,22627502.0,227534788.0
2015-12-21 13:29:00,10.06,10.13,10.19,10.06,23706341.0,240336186.0
2015-12-21 13:59:00,10.13,10.16,10.3,10.13,38200279.0,390714734.0
2015-12-21 14:29:00,10.16,10.14,10.2,10.14,9269607.0,94255856.0
2015-12-21 14:59:00,10.14,10.12,10.16,10.08,14433394.0,146068182.0
2015-12-22 09:59:00,10.13,10.18,10.21,10.06,25768894.0,261224863.0
2015-12-22 10:29:00,10.18,10.08,10.2,10.04,12933001.0,130704582.0
2015-12-22 10:59:00,10.07,10.08,10.13,10.06,5889397.0,59420071.0
2015-12-22 11:29:00,10.08,10.03,10.09,10.02,10269256.0,103128269.0
2015-12-22 13:29:00,10.04,10.04,10.07,10.03,6140572.0,61671063.0
2015-12-22 13:59:00,10.04,10.07,10.07,10.03,7750189.0,77842656.0
2015-12-22 14:29:00,10.06,10.06,10.11,10.04,7729926.0,77887160.0
2015-12-22 14:59:00,10.05,10.06,10.08,10.04,9592077.0,96494276.0
2015-12-23 09:59:00,10.06,10.11,10.12,10.05,11840073.0,119385679.0
2015-12-23 10:29:00,10.11,10.08,10.13,10.06,10633482.0,107252315.0
2015-12-23 10:59:00,10.08,10.14,10.16,10.06,20021700.0,202755300.0
2015-12-23 11:29:00,10.14,10.08,10.14,10.07,8172360.0,82513594.0
2015-12-23 13:29:00,10.07,10.05,10.08,10.04,8187065.0,82385840.0
2015-12-23 13:59:00,10.04,10.08,10.11,10.04,9641496.0,97068646.0
2015-12-23 14:29:00,10.08,10.22,10.33,10.08,43396928.0,443362075.0
2015-12-23 14:59:00,10.22,10.11,10.25,10.09,16372886.0,166383143.0
2015-12-24 09:59:00,10.1,10.09,10.16,10.01,15343345.0,154549983.0
2015-12-24 10:29:00,10.08,10.07,10.12,10.03,9201042.0,92618990.0
2015-12-24 10:59:00,10.07,10.0,10.07,9.95,13363573.0,133538092.0
2015-12-24 11:29:00,10.0,9.96,10.04,9.96,7046321.0,70351400.0
2015-12-24 13:29:00,9.96,9.96,9.98,9.91,6610811.0,65731431.0
2015-12-24 13:59:00,9.95,10.0,10.0,9.94,7040512.0,70161366.0
2015-12-24 14:29:00,9.99,10.03,10.04,9.95,9902063.0,98933784.0
2015-12-24 14:59:00,10.02,9.99,10.09,9.98,11216022.0,112476806.0
2015-12-25 09:59:00,9.99,10.06,10.08,9.99,9425655.0,94609967.0
2015-12-25 10:29:00,10.06,10.05,10.09,10.02,5612274.0,56480644.0
2015-12-25 10:59:00,10.06,10.04,10.07,10.0,6707671.0,67343261.0
2015-12-25 11:29:00,10.04,10.02,10.04,9.98,6767840.0,67761514.0
2015-12-25 13:29:00,10.01,10.03,10.04,10.0,4926818.0,49368041.0
2015-12-25 13:59:00,10.04,10.03,10.06,10.0,5533077.0,55533675.0
2015-12-25 14:29:00,10.03,10.0,10.04,9.99,4192063.0,41941863.0
2015-12-25 14:59:00,10.0,10.04,10.05,10.0,5233593.0,52503382.0
2015-12-28 09:59:00,10.04,10.01,10.08,10.01,11967210.0,120236405.0
2015-12-28 10:29:00,10.02,9.99,10.04,9.98,9581578.0,95881391.0
2015-12-28 10:59:00,10.0,9.99,10.03,9.98,6714587.0,67129474.0
2015-12-28 11:29:00,9.99,9.96,10.0,9.94,9220063.0,91882303.0
2015-12-28 13:29:00,9.96,9.91,9.97,9.89,9984967.0,99068390.0
2015-12-28 13:59:00,9.91,9.79,9.91,9.78,18442479.0,181305553.0
2015-12-28 14:29:00,9.79,9.77,9.81,9.75,14110065.0,138054596.0
2015-12-28 14:59:00,9.77,9.7,9.78,9.7,21518885.0,209422982.0
2015-12-29 09:59:00,9.7,9.72,9.79,9.7,14970223.0,145665432.0
2015-12-29 10:29:00,9.72,9.7,9.73,9.69,13752388.0,133396530.0
2015-12-29 10:59:00,9.69,9.73,9.74,9.69,13958343.0,135422367.0
