vtSymbol,OpenTime,OpenPrice,Direction,CloseTime,ClosePrice,Volume,Profit
rb,2017-05-15 21:40:00,2970.0,Short,2017-05-16 10:55:00,2995.0,1,-271.93
rb,2017-05-16 13:55:00,2970.0,Short,2017-05-16 14:40:00,2987.0,1,-191.914
rb,2017-05-17 14:55:00,3106.0,Short,2017-05-18 14:10:00,3151.0,1,-472.514
rb,2017-05-19 14:55:00,3238.0,Short,2017-05-19 21:25:00,3269.0,1,-333.014
rb,2017-05-22 11:25:00,3336.0,Short,2017-05-23 22:55:00,3302.0,1,316.724
rb,2017-05-24 10:55:00,3246.0,Short,2017-05-24 14:55:00,3258.0,1,-143.008
rb,2017-05-25 14:40:00,3245.0,Short,2017-05-26 13:55:00,3215.0,1,277.08
rb,2017-05-31 10:55:00,3181.0,Short,2017-06-01 09:40:00,3117.0,1,617.404
rb,2017-06-01 22:25:00,3058.0,Short,2017-06-02 14:10:00,3056.0,1,-2.2279999999999998
rb,2017-06-02 21:40:00,3016.0,Short,2017-06-02 22:55:00,3050.0000000000005,1,-362.13200000000455
